replica,escenario,origen,destino,base,cerrado
4,reforma,z16,z10,955.1681425301604,948.5536479466894
4,reforma,z16,z15,297.0072759572542,297.0072759572542
4,reforma,z16,z16,301.29465420744344,301.29465420744344
5,base,z10,z10,323.02919768492416,323.02919768492416
5,base,z10,z15,777.1794934227914,777.1794934227914
5,base,z10,z16,849.5566315906992,849.5566315906992
5,base,z15,z10,906.4036185604175,906.4036185604175
5,base,z15,z15,258.65772653487625,258.65772653487625
5,base,z15,z16,236.00780661518866,236.00780661518866
5,base,z16,z10,941.0798378201179,941.0798378201179
5,base,z16,z15,297.02105137584925,297.02105137584925
5,base,z16,z16,312.9899601958715,312.9899601958715
5,vista_hermosa,z10,z10,323.02919768492416,323.02929560328516
5,vista_hermosa,z10,z15,777.1794934227914,1396.176354353483
5,vista_hermosa,z10,z16,849.5566315906992,1313.8618661369128
5,vista_hermosa,z15,z10,906.4036185604175,1230.0736895405328
5,vista_hermosa,z15,z15,258.65772653487625,258.6052646281803
5,vista_hermosa,z15,z16,236.00780661518866,236.09531739230076
5,vista_hermosa,z16,z10,941.0798378201179,1201.8512656404553
5,vista_hermosa,z16,z15,297.02105137584925,297.813613101939
5,vista_hermosa,z16,z16,312.9899601958715,312.9336958379003
5,reforma,z10,z10,323.02919768492416,322.0353320248376
5,reforma,z10,z15,777.1794934227914,769.9874737726327
5,reforma,z10,z16,849.5566315906992,840.0877560152583
5,reforma,z15,z10,906.4036185604175,881.7515201493787
5,reforma,z15,z15,258.65772653487625,258.65772653487625
5,reforma,z15,z16,236.00780661518866,236.00780661518866
5,reforma,z16,z10,941.0798378201179,935.9212118861277
5,reforma,z16,z15,297.02105137584925,297.02105137584925
5,reforma,z16,z16,312.9899601958715,312.9899601958715
6,base,z10,z10,294.70248189658525,294.70248189658525
6,base,z10,z15,781.2681907512294,781.2681907512294
6,base,z10,z16,838.8616331775402,838.8616331775402
6,base,z15,z10,868.6746973836246,868.6746973836246
6,base,z15,z15,261.15201346097376,261.15201346097376
6,base,z15,z16,261.4029340427348,261.4029340427348
6,base,z16,z10,946.8010101065272,946.8010101065272
6,base,z16,z15,295.93406478441665,295.93406478441665
6,base,z16,z16,320.26456275745124,320.26456275745124
6,vista_hermosa,z10,z10,294.70248189658525,294.7025043031684
6,vista_hermosa,z10,z15,781.2681907512294,1399.7693228556445
6,vista_hermosa,z10,z16,838.8616331775402,1305.5068926445879
6,vista_hermosa,z15,z10,868.6746973836246,1215.5046112977252
6,vista_hermosa,z15,z15,261.15201346097376,263.85408045029124
6,vista_hermosa,z15,z16,261.4029340427348,261.35550229326765
6,vista_hermosa,z16,z10,946.8010101065272,1204.6367003158573
6,vista_hermosa,z16,z15,295.93406478441665,296.1760821257959
6,vista_hermosa,z16,z16,320.26456275745124,322.0681086252598
6,reforma,z10,z10,294.70248189658525,294.70249808588176
6,reforma,z10,z15,781.2681907512294,763.7961844713024
6,reforma,z10,z16,838.8616331775402,826.7550938324068
6,reforma,z15,z10,868.6746973836246,860.5132939774683
6,reforma,z15,z15,261.15201346097376,261.15201346097376
6,reforma,z15,z16,261.4029340427348,261.40293390978303
6,reforma,z16,z10,946.8010101065272,939.485881343109
6,reforma,z16,z15,295.93406478441665,295.93406478441665
6,reforma,z16,z16,320.26456275745124,320.2645596186034
7,base,z10,z10,321.20853978947383,321.20853978947383
7,base,z10,z15,785.6595678850983,785.6595678850983
7,base,z10,z16,857.3970825244376,857.3970825244376
7,base,z15,z10,876.3326021864732,876.3326021864732
7,base,z15,z15,257.4202423141246,257.4202423141246
7,base,z15,z16,253.36962170633822,253.36962170633822
7,base,z16,z10,940.1505777141067,940.1505777141067
7,base,z16,z15,301.1619839199671,301.1619839199671
7,base,z16,z16,310.09059140613294,310.09059140613294
7,vista_hermosa,z10,z10,321.20853978947383,321.2085116303332
7,vista_hermosa,z10,z15,785.6595678850983,1395.14762058628
7,vista_hermosa,z10,z16,857.3970825244376,1311.1784811568884
7,vista_hermosa,z15,z10,876.3326021864732,1213.7862814659436
7,vista_hermosa,z15,z15,257.4202423141246,257.4100260754971
7,vista_hermosa,z15,z16,253.36962170633822,253.7498594306918
7,vista_hermosa,z16,z10,940.1505777141067,1189.9823568634424
7,vista_hermosa,z16,z15,301.1619839199671,301.30717379665526
7,vista_hermosa,z16,z16,310.09059140613294,309.4617148052515
7,reforma,z10,z10,321.20853978947383,325.37930727271214
7,reforma,z10,z15,785.6595678850983,774.607528212174
7,reforma,z10,z16,857.3970825244376,847.4853053288016
7,reforma,z15,z10,876.3326021864732,863.5265491243106
7,reforma,z15,z15,257.4202423141246,257.42024450605584
7,reforma,z15,z16,253.36962170633822,253.36962170633822
7,reforma,z16,z10,940.1505777141067,936.5001616787156
7,reforma,z16,z15,301.1619839199671,301.1619839199671
7,reforma,z16,z16,310.09059140613294,310.09059140613294
8,base,z10,z10,304.50354307146466,304.50354307146466
8,base,z10,z15,785.3781711862226,785.3781711862226
8,base,z10,z16,859.8162528580852,859.8162528580852
8,base,z15,z10,888.1234949602872,888.1234949602872
